DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-03-09 12:52:53.574,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
13285400,0.5760,0.3286,-0.3616,0.6554,-0.3122,-1.1627,0.6549,0
13285566,0.5776,0.3274,-0.3586,0.6562,-0.9028,-1.3572,0.4526,0
13285733,0.5781,0.3273,-0.3572,0.6566,-0.5309,-0.4115,0.2569,0
13285900,0.5798,0.3251,-0.3544,0.6577,-0.4603,-0.2138,-0.4920,0
13286066,0.5817,0.3224,-0.3512,0.6591,-0.2834,-0.2722,0.0504,0
13286233,0.5825,0.3227,-0.3496,0.6591,0.1862,-0.0957,-0.6552,0
13286400,0.5838,0.3248,-0.3488,0.6573,0.0411,0.5159,-0.6484,0
13286566,0.5864,0.3286,-0.3495,0.6527,0.0555,0.4226,-0.7213,0
13286733,0.5889,0.3303,-0.3478,0.6505,-0.6858,-0.2776,0.5016,0
13286900,0.5895,0.3321,-0.3472,0.6494,-0.6703,-0.5443,1.3831,0
13287066,0.5882,0.3359,-0.3505,0.6468,-1.1069,-0.4822,1.0594,0
13287233,0.5859,0.3405,-0.3551,0.6440,-0.0820,-0.9802,-0.3318,0
13287400,0.5826,0.3473,-0.3596,0.6408,0.7923,-1.1680,-0.8892,0
13287566,0.5795,0.3549,-0.3640,0.6370,0.1388,-0.0952,-0.0803,0
